states,actions
"[[0.477      0.109      0.         0.         0.46407695]
 [0.482      0.111      0.         0.         0.47054025]
 [0.486      0.113      0.         0.         0.47443907]
 [0.49       0.116      0.         0.         0.47833895]
 [0.495      0.118      0.         0.         0.48482815]]",[[0.2   0.198]]
"[[0.482      0.111      0.         0.         0.47054025]
 [0.486      0.113      0.         0.         0.47443907]
 [0.49       0.116      0.         0.         0.47833895]
 [0.495      0.118      0.         0.         0.48482815]
 [0.499      0.12       0.         0.         0.48873513]]",[[0.2   0.198]]
"[[0.486      0.113      0.         0.         0.47443907]
 [0.49       0.116      0.         0.         0.47833895]
 [0.495      0.118      0.         0.         0.48482815]
 [0.499      0.12       0.         0.         0.48873513]
 [0.503      0.122      0.         0.         0.4930734 ]]",[[0.2   0.198]]
"[[0.49       0.116      0.         0.         0.47833895]
 [0.495      0.118      0.         0.         0.48482815]
 [0.499      0.12       0.         0.         0.48873513]
 [0.503      0.122      0.         0.         0.4930734 ]
 [0.507      0.125      0.         0.         0.49915949]]",[[0.2   0.198]]
"[[0.495      0.118      0.         0.         0.48482815]
 [0.499      0.12       0.         0.         0.48873513]
 [0.503      0.122      0.         0.         0.4930734 ]
 [0.507      0.125      0.         0.         0.49915949]
 [0.512      0.127      0.         0.         0.50351177]]",[[0.2   0.198]]
"[[0.499      0.12       0.         0.         0.48873513]
 [0.503      0.122      0.         0.         0.4930734 ]
 [0.507      0.125      0.         0.         0.49915949]
 [0.512      0.127      0.         0.         0.50351177]
 [0.516      0.13       0.         0.         0.50743204]]",[[0.2   0.198]]
"[[0.503      0.122      0.         0.         0.4930734 ]
 [0.507      0.125      0.         0.         0.49915949]
 [0.512      0.127      0.         0.         0.50351177]
 [0.516      0.13       0.         0.         0.50743204]
 [0.52       0.132      0.         0.         0.51353695]]",[[0.2   0.198]]
"[[0.507      0.125      0.         0.         0.49915949]
 [0.512      0.127      0.         0.         0.50351177]
 [0.516      0.13       0.         0.         0.50743204]
 [0.52       0.132      0.         0.         0.51353695]
 [0.524      0.134      0.         0.         0.51790785]]",[[0.2   0.198]]
"[[0.512      0.127      0.         0.         0.50351177]
 [0.516      0.13       0.         0.         0.50743204]
 [0.52       0.132      0.         0.         0.51353695]
 [0.524      0.134      0.         0.         0.51790785]
 [0.529      0.137      0.         0.         0.52183827]]",[[0.2   0.198]]
"[[0.516      0.13       0.         0.         0.50743204]
 [0.52       0.132      0.         0.         0.51353695]
 [0.524      0.134      0.         0.         0.51790785]
 [0.529      0.137      0.         0.         0.52183827]
 [0.533      0.139      0.         0.         0.52796315]]",[[0.2   0.198]]
"[[0.52       0.132      0.         0.         0.51353695]
 [0.524      0.134      0.         0.         0.51790785]
 [0.529      0.137      0.         0.         0.52183827]
 [0.533      0.139      0.         0.         0.52796315]
 [0.537      0.142      0.         0.         0.53235324]]",[[0.2   0.198]]
"[[0.524      0.134      0.         0.         0.51790785]
 [0.529      0.137      0.         0.         0.52183827]
 [0.533      0.139      0.         0.         0.52796315]
 [0.537      0.142      0.         0.         0.53235324]
 [0.541      0.144      0.         0.         0.53629467]]",[[0.2   0.198]]
"[[0.529      0.137      0.         0.         0.52183827]
 [0.533      0.139      0.         0.         0.52796315]
 [0.537      0.142      0.         0.         0.53235324]
 [0.541      0.144      0.         0.         0.53629467]
 [0.545      0.147      0.         0.         0.54069628]]",[[0.2   0.198]]
"[[0.533      0.139      0.         0.         0.52796315]
 [0.537      0.142      0.         0.         0.53235324]
 [0.541      0.144      0.         0.         0.53629467]
 [0.545      0.147      0.         0.         0.54069628]
 [0.549      0.149      0.         0.         0.54685049]]",[[0.2   0.198]]
"[[0.537      0.142      0.         0.         0.53235324]
 [0.541      0.144      0.         0.         0.53629467]
 [0.545      0.147      0.         0.         0.54069628]
 [0.549      0.149      0.         0.         0.54685049]
 [0.554      0.152      0.         0.         0.55080378]]",[[0.2   0.198]]
"[[0.541      0.144      0.         0.         0.53629467]
 [0.545      0.147      0.         0.         0.54069628]
 [0.549      0.149      0.         0.         0.54685049]
 [0.554      0.152      0.         0.         0.55080378]
 [0.558      0.154      0.         0.         0.55522539]]",[[0.2   0.198]]
"[[0.545      0.147      0.         0.         0.54069628]
 [0.549      0.149      0.         0.         0.54685049]
 [0.554      0.152      0.         0.         0.55080378]
 [0.558      0.154      0.         0.         0.55522539]
 [0.562      0.157      0.         0.         0.56140206]]",[[0.2   0.198]]
"[[0.549      0.149      0.         0.         0.54685049]
 [0.554      0.152      0.         0.         0.55080378]
 [0.558      0.154      0.         0.         0.55522539]
 [0.562      0.157      0.         0.         0.56140206]
 [0.566      0.159      0.         0.         0.56536804]]",[[0.2   0.198]]
"[[0.554      0.152      0.         0.         0.55080378]
 [0.558      0.154      0.         0.         0.55522539]
 [0.562      0.157      0.         0.         0.56140206]
 [0.566      0.159      0.         0.         0.56536804]
 [0.57       0.162      0.         0.         0.56981015]]",[[0.2   0.198]]
"[[0.558      0.154      0.         0.         0.55522539]
 [0.562      0.157      0.         0.         0.56140206]
 [0.566      0.159      0.         0.         0.56536804]
 [0.57       0.162      0.         0.         0.56981015]
 [0.574      0.165      0.         0.         0.57601035]]",[[0.2   0.198]]
"[[0.562      0.157      0.         0.         0.56140206]
 [0.566      0.159      0.         0.         0.56536804]
 [0.57       0.162      0.         0.         0.56981015]
 [0.574      0.165      0.         0.         0.57601035]
 [0.578      0.167      0.         0.         0.57998985]]",[[0.2   0.198]]
"[[0.566      0.159      0.         0.         0.56536804]
 [0.57       0.162      0.         0.         0.56981015]
 [0.574      0.165      0.         0.         0.57601035]
 [0.578      0.167      0.         0.         0.57998985]
 [0.582      0.17       0.         0.         0.58445293]]",[[0.2   0.198]]
"[[0.57       0.162      0.         0.         0.56981015]
 [0.574      0.165      0.         0.         0.57601035]
 [0.578      0.167      0.         0.         0.57998985]
 [0.582      0.17       0.         0.         0.58445293]
 [0.586      0.173      0.         0.         0.59067769]]",[[0.2   0.198]]
"[[0.574      0.165      0.         0.         0.57601035]
 [0.578      0.167      0.         0.         0.57998985]
 [0.582      0.17       0.         0.         0.58445293]
 [0.586      0.173      0.         0.         0.59067769]
 [0.59       0.175      0.         0.         0.5946715 ]]",[[0.2   0.198]]
"[[0.578      0.167      0.         0.         0.57998985]
 [0.582      0.17       0.         0.         0.58445293]
 [0.586      0.173      0.         0.         0.59067769]
 [0.59       0.175      0.         0.         0.5946715 ]
 [0.594      0.178      0.         0.         0.59866868]]",[[0.2   0.198]]
"[[0.582      0.17       0.         0.         0.58445293]
 [0.586      0.173      0.         0.         0.59067769]
 [0.59       0.175      0.         0.         0.5946715 ]
 [0.594      0.178      0.         0.         0.59866868]
 [0.598      0.181      0.         0.         0.60315863]]",[[0.2   0.198]]
"[[0.586      0.173      0.         0.         0.59067769]
 [0.59       0.175      0.         0.         0.5946715 ]
 [0.594      0.178      0.         0.         0.59866868]
 [0.598      0.181      0.         0.         0.60315863]
 [0.602      0.184      0.         0.         0.60941522]]",[[0.2   0.198]]
"[[0.59       0.175      0.         0.         0.5946715 ]
 [0.594      0.178      0.         0.         0.59866868]
 [0.598      0.181      0.         0.         0.60315863]
 [0.602      0.184      0.         0.         0.60941522]
 [0.606      0.186      0.         0.         0.61342776]]",[[0.2   0.199]]
"[[0.594      0.178      0.         0.         0.59866868]
 [0.598      0.181      0.         0.         0.60315863]
 [0.602      0.184      0.         0.         0.60941522]
 [0.606      0.186      0.         0.         0.61342776]
 [0.61       0.189      0.         0.         0.61793968]]",[[0.2   0.198]]
"[[0.598      0.181      0.         0.         0.60315863]
 [0.602      0.184      0.         0.         0.60941522]
 [0.606      0.186      0.         0.         0.61342776]
 [0.61       0.189      0.         0.         0.61793968]
 [0.614      0.192      0.         0.         0.62422312]]",[[0.2   0.198]]
"[[0.602      0.184      0.         0.         0.60941522]
 [0.606      0.186      0.         0.         0.61342776]
 [0.61       0.189      0.         0.         0.61793968]
 [0.614      0.192      0.         0.         0.62422312]
 [0.618      0.195      0.         0.         0.62825177]]",[[0.2   0.198]]
"[[0.606      0.186      0.         0.         0.61342776]
 [0.61       0.189      0.         0.         0.61793968]
 [0.614      0.192      0.         0.         0.62422312]
 [0.618      0.195      0.         0.         0.62825177]
 [0.622      0.198      0.         0.         0.63228438]]",[[0.2   0.198]]
"[[0.61       0.189      0.         0.         0.61793968]
 [0.614      0.192      0.         0.         0.62422312]
 [0.618      0.195      0.         0.         0.62825177]
 [0.622      0.198      0.         0.         0.63228438]
 [0.626      0.201      0.         0.         0.63682447]]",[[0.2   0.198]]
"[[0.614      0.192      0.         0.         0.62422312]
 [0.618      0.195      0.         0.         0.62825177]
 [0.622      0.198      0.         0.         0.63228438]
 [0.626      0.201      0.         0.         0.63682447]
 [0.63       0.203      0.         0.         0.64314274]]",[[0.2   0.198]]
"[[0.618      0.195      0.         0.         0.62825177]
 [0.622      0.198      0.         0.         0.63228438]
 [0.626      0.201      0.         0.         0.63682447]
 [0.63       0.203      0.         0.         0.64314274]
 [0.634      0.206      0.         0.         0.64719245]]",[[0.2   0.198]]
"[[0.622      0.198      0.         0.         0.63228438]
 [0.626      0.201      0.         0.         0.63682447]
 [0.63       0.203      0.         0.         0.64314274]
 [0.634      0.206      0.         0.         0.64719245]
 [0.638      0.209      0.         0.         0.65124644]]",[[0.2   0.198]]
"[[0.626      0.201      0.         0.         0.63682447]
 [0.63       0.203      0.         0.         0.64314274]
 [0.634      0.206      0.         0.         0.64719245]
 [0.638      0.209      0.         0.         0.65124644]
 [0.642      0.212      0.         0.         0.65810256]]",[[0.2   0.198]]
"[[0.63       0.203      0.         0.         0.64314274]
 [0.634      0.206      0.         0.         0.64719245]
 [0.638      0.209      0.         0.         0.65124644]
 [0.642      0.212      0.         0.         0.65810256]
 [0.645      0.215      0.         0.         0.66217006]]",[[0.2   0.197]]
"[[0.634      0.206      0.         0.         0.64719245]
 [0.638      0.209      0.         0.         0.65124644]
 [0.642      0.212      0.         0.         0.65810256]
 [0.645      0.215      0.         0.         0.66217006]
 [0.649      0.218      0.         0.         0.66624209]]",[[0.2   0.197]]
"[[0.638      0.209      0.         0.         0.65124644]
 [0.642      0.212      0.         0.         0.65810256]
 [0.645      0.215      0.         0.         0.66217006]
 [0.649      0.218      0.         0.         0.66624209]
 [0.653      0.221      0.         0.         0.67031874]]",[[0.2   0.197]]
"[[0.642      0.212      0.         0.         0.65810256]
 [0.645      0.215      0.         0.         0.66217006]
 [0.649      0.218      0.         0.         0.66624209]
 [0.653      0.221      0.         0.         0.67031874]
 [0.657      0.224      0.         0.         0.67670146]]",[[0.2   0.197]]
"[[0.645      0.215      0.         0.         0.66217006]
 [0.649      0.218      0.         0.         0.66624209]
 [0.653      0.221      0.         0.         0.67031874]
 [0.657      0.224      0.         0.         0.67670146]
 [0.661      0.227      0.         0.         0.68130973]]",[[0.2   0.197]]
"[[0.649      0.218      0.         0.         0.66624209]
 [0.653      0.221      0.         0.         0.67031874]
 [0.657      0.224      0.         0.         0.67670146]
 [0.661      0.227      0.         0.         0.68130973]
 [0.664      0.23       0.         0.         0.68540531]]",[[0.2   0.197]]
"[[0.653      0.221      0.         0.         0.67031874]
 [0.657      0.224      0.         0.         0.67670146]
 [0.661      0.227      0.         0.         0.68130973]
 [0.664      0.23       0.         0.         0.68540531]
 [0.668      0.233      0.         0.         0.68950582]]",[[0.2   0.197]]
"[[0.657      0.224      0.         0.         0.67670146]
 [0.661      0.227      0.         0.         0.68130973]
 [0.664      0.23       0.         0.         0.68540531]
 [0.668      0.233      0.         0.         0.68950582]
 [0.672      0.237      0.         0.         0.69592777]]",[[0.2   0.197]]
"[[0.661      0.227      0.         0.         0.68130973]
 [0.664      0.23       0.         0.         0.68540531]
 [0.668      0.233      0.         0.         0.68950582]
 [0.672      0.237      0.         0.         0.69592777]
 [0.675      0.24       0.         0.         0.70004161]]",[[0.2   0.197]]
"[[0.664      0.23       0.         0.         0.68540531]
 [0.668      0.233      0.         0.         0.68950582]
 [0.672      0.237      0.         0.         0.69592777]
 [0.675      0.24       0.         0.         0.70004161]
 [0.679      0.243      0.         0.         0.70468642]]",[[0.2   0.197]]
"[[0.668      0.233      0.         0.         0.68950582]
 [0.672      0.237      0.         0.         0.69592777]
 [0.675      0.24       0.         0.         0.70004161]
 [0.679      0.243      0.         0.         0.70468642]
 [0.683      0.246      0.         0.         0.70881195]]",[[0.2   0.197]]
"[[0.672      0.237      0.         0.         0.69592777]
 [0.675      0.24       0.         0.         0.70004161]
 [0.679      0.243      0.         0.         0.70468642]
 [0.683      0.246      0.         0.         0.70881195]
 [0.687      0.249      0.         0.         0.71527448]]",[[0.2   0.197]]
"[[0.675      0.24       0.         0.         0.70004161]
 [0.679      0.243      0.         0.         0.70468642]
 [0.683      0.246      0.         0.         0.70881195]
 [0.687      0.249      0.         0.         0.71527448]
 [0.69       0.252      0.         0.         0.719414  ]]",[[0.2   0.197]]
"[[0.679      0.243      0.         0.         0.70468642]
 [0.683      0.246      0.         0.         0.70881195]
 [0.687      0.249      0.         0.         0.71527448]
 [0.69       0.252      0.         0.         0.719414  ]
 [0.694      0.256      0.         0.         0.723559  ]]",[[0.2   0.197]]
"[[0.683      0.246      0.         0.         0.70881195]
 [0.687      0.249      0.         0.         0.71527448]
 [0.69       0.252      0.         0.         0.719414  ]
 [0.694      0.256      0.         0.         0.723559  ]
 [0.698      0.259      0.         0.         0.72770955]]",[[0.2   0.197]]
"[[0.687      0.249      0.         0.         0.71527448]
 [0.69       0.252      0.         0.         0.719414  ]
 [0.694      0.256      0.         0.         0.723559  ]
 [0.698      0.259      0.         0.         0.72770955]
 [0.701      0.262      0.         0.         0.73239832]]",[[0.2   0.197]]
"[[0.69       0.252      0.         0.         0.719414  ]
 [0.694      0.256      0.         0.         0.723559  ]
 [0.698      0.259      0.         0.         0.72770955]
 [0.701      0.262      0.         0.         0.73239832]
 [0.705      0.265      0.         0.         0.73891169]]",[[0.2   0.197]]
"[[0.694      0.256      0.         0.         0.723559  ]
 [0.698      0.259      0.         0.         0.72770955]
 [0.701      0.262      0.         0.         0.73239832]
 [0.705      0.265      0.         0.         0.73891169]
 [0.708      0.269      0.         0.         0.74308372]]",[[0.2   0.197]]
"[[0.698      0.259      0.         0.         0.72770955]
 [0.701      0.262      0.         0.         0.73239832]
 [0.705      0.265      0.         0.         0.73891169]
 [0.708      0.269      0.         0.         0.74308372]
 [0.712      0.272      0.         0.         0.74726158]]",[[0.2   0.197]]
"[[0.701      0.262      0.         0.         0.73239832]
 [0.705      0.265      0.         0.         0.73891169]
 [0.708      0.269      0.         0.         0.74308372]
 [0.712      0.272      0.         0.         0.74726158]
 [0.715      0.275      0.         0.         0.75144534]]",[[0.2   0.197]]
"[[0.705      0.265      0.         0.         0.73891169]
 [0.708      0.269      0.         0.         0.74308372]
 [0.712      0.272      0.         0.         0.74726158]
 [0.715      0.275      0.         0.         0.75144534]
 [0.719      0.278      0.         0.         0.75800098]]",[[0.2   0.197]]
"[[0.708      0.269      0.         0.         0.74308372]
 [0.712      0.272      0.         0.         0.74726158]
 [0.715      0.275      0.         0.         0.75144534]
 [0.719      0.278      0.         0.         0.75800098]
 [0.723      0.282      0.         0.         0.76220021]]",[[0.2   0.197]]
"[[0.712      0.272      0.         0.         0.74726158]
 [0.715      0.275      0.         0.         0.75144534]
 [0.719      0.278      0.         0.         0.75800098]
 [0.723      0.282      0.         0.         0.76220021]
 [0.726      0.285      0.         0.         0.76640557]]",[[0.2   0.196]]
"[[0.715      0.275      0.         0.         0.75144534]
 [0.719      0.278      0.         0.         0.75800098]
 [0.723      0.282      0.         0.         0.76220021]
 [0.726      0.285      0.         0.         0.76640557]
 [0.729      0.288      0.         0.         0.77115656]]",[[0.2   0.196]]
"[[0.719      0.278      0.         0.         0.75800098]
 [0.723      0.282      0.         0.         0.76220021]
 [0.726      0.285      0.         0.         0.76640557]
 [0.729      0.288      0.         0.         0.77115656]
 [0.733      0.292      0.         0.         0.77537508]]",[[0.2   0.196]]
"[[0.723      0.282      0.         0.         0.76220021]
 [0.726      0.285      0.         0.         0.76640557]
 [0.729      0.288      0.         0.         0.77115656]
 [0.733      0.292      0.         0.         0.77537508]
 [0.736      0.295      0.         0.         0.78198502]]",[[0.2   0.196]]
"[[0.726      0.285      0.         0.         0.76640557]
 [0.729      0.288      0.         0.         0.77115656]
 [0.733      0.292      0.         0.         0.77537508]
 [0.736      0.295      0.         0.         0.78198502]
 [0.74       0.299      0.         0.         0.78621971]]",[[0.2   0.196]]
"[[0.729      0.288      0.         0.         0.77115656]
 [0.733      0.292      0.         0.         0.77537508]
 [0.736      0.295      0.         0.         0.78198502]
 [0.74       0.299      0.         0.         0.78621971]
 [0.743      0.302      0.         0.         0.79046084]]",[[0.2   0.196]]
"[[0.733      0.292      0.         0.         0.77537508]
 [0.736      0.295      0.         0.         0.78198502]
 [0.74       0.299      0.         0.         0.78621971]
 [0.743      0.302      0.         0.         0.79046084]
 [0.747      0.306      0.         0.         0.79470848]]",[[0.2   0.196]]
"[[0.736      0.295      0.         0.         0.78198502]
 [0.74       0.299      0.         0.         0.78621971]
 [0.743      0.302      0.         0.         0.79046084]
 [0.747      0.306      0.         0.         0.79470848]
 [0.75       0.309      0.         0.         0.79896269]]",[[0.2   0.196]]
"[[0.74       0.299      0.         0.         0.78621971]
 [0.743      0.302      0.         0.         0.79046084]
 [0.747      0.306      0.         0.         0.79470848]
 [0.75       0.309      0.         0.         0.79896269]
 [0.753      0.313      0.         0.         0.80562806]]",[[0.2   0.196]]
"[[0.743      0.302      0.         0.         0.79046084]
 [0.747      0.306      0.         0.         0.79470848]
 [0.75       0.309      0.         0.         0.79896269]
 [0.753      0.313      0.         0.         0.80562806]
 [0.757      0.316      0.         0.         0.80989917]]",[[0.2   0.196]]
"[[0.747      0.306      0.         0.         0.79470848]
 [0.75       0.309      0.         0.         0.79896269]
 [0.753      0.313      0.         0.         0.80562806]
 [0.757      0.316      0.         0.         0.80989917]
 [0.76       0.32       0.         0.         0.81417705]]",[[0.2   0.196]]
"[[0.75       0.309      0.         0.         0.79896269]
 [0.753      0.313      0.         0.         0.80562806]
 [0.757      0.316      0.         0.         0.80989917]
 [0.76       0.32       0.         0.         0.81417705]
 [0.764      0.323      0.         0.         0.81846176]]",[[0.2   0.196]]
"[[0.753      0.313      0.         0.         0.80562806]
 [0.757      0.316      0.         0.         0.80989917]
 [0.76       0.32       0.         0.         0.81417705]
 [0.764      0.323      0.         0.         0.81846176]
 [0.767      0.327      0.         0.         0.82275337]]",[[0.2   0.195]]
"[[0.757      0.316      0.         0.         0.80989917]
 [0.76       0.32       0.         0.         0.81417705]
 [0.764      0.323      0.         0.         0.81846176]
 [0.767      0.327      0.         0.         0.82275337]
 [0.77       0.33       0.         0.         0.82947608]]",[[0.2   0.195]]
"[[0.76       0.32       0.         0.         0.81417705]
 [0.764      0.323      0.         0.         0.81846176]
 [0.767      0.327      0.         0.         0.82275337]
 [0.77       0.33       0.         0.         0.82947608]
 [0.773      0.334      0.         0.         0.83378526]]",[[0.2   0.195]]
"[[0.764      0.323      0.         0.         0.81846176]
 [0.767      0.327      0.         0.         0.82275337]
 [0.77       0.33       0.         0.         0.82947608]
 [0.773      0.334      0.         0.         0.83378526]
 [0.777      0.338      0.         0.         0.83810152]]",[[0.2   0.195]]
"[[0.767      0.327      0.         0.         0.82275337]
 [0.77       0.33       0.         0.         0.82947608]
 [0.773      0.334      0.         0.         0.83378526]
 [0.777      0.338      0.         0.         0.83810152]
 [0.78       0.341      0.         0.         0.84296926]]",[[0.2   0.195]]
"[[0.77       0.33       0.         0.         0.82947608]
 [0.773      0.334      0.         0.         0.83378526]
 [0.777      0.338      0.         0.         0.83810152]
 [0.78       0.341      0.         0.         0.84296926]
 [0.783      0.345      0.         0.         0.84729988]]",[[0.2   0.195]]
"[[0.773      0.334      0.         0.         0.83378526]
 [0.777      0.338      0.         0.         0.83810152]
 [0.78       0.341      0.         0.         0.84296926]
 [0.783      0.345      0.         0.         0.84729988]
 [0.786      0.348      0.         0.         0.85163769]]",[[0.2   0.195]]
"[[0.777      0.338      0.         0.         0.83810152]
 [0.78       0.341      0.         0.         0.84296926]
 [0.783      0.345      0.         0.         0.84729988]
 [0.786      0.348      0.         0.         0.85163769]
 [0.789      0.352      0.         0.         0.85598277]]",[[0.2   0.195]]
"[[0.78       0.341      0.         0.         0.84296926]
 [0.783      0.345      0.         0.         0.84729988]
 [0.786      0.348      0.         0.         0.85163769]
 [0.789      0.352      0.         0.         0.85598277]
 [0.793      0.356      0.         0.         0.86278592]]",[[0.2   0.195]]
"[[0.783      0.345      0.         0.         0.84729988]
 [0.786      0.348      0.         0.         0.85163769]
 [0.789      0.352      0.         0.         0.85598277]
 [0.793      0.356      0.         0.         0.86278592]
 [0.796      0.36       0.         0.         0.86714928]]",[[0.2   0.195]]
"[[0.786      0.348      0.         0.         0.85163769]
 [0.789      0.352      0.         0.         0.85598277]
 [0.793      0.356      0.         0.         0.86278592]
 [0.796      0.36       0.         0.         0.86714928]
 [0.799      0.363      0.         0.         0.87152006]]",[[0.2   0.195]]
"[[0.789      0.352      0.         0.         0.85598277]
 [0.793      0.356      0.         0.         0.86278592]
 [0.796      0.36       0.         0.         0.86714928]
 [0.799      0.363      0.         0.         0.87152006]
 [0.802      0.367      0.         0.         0.8758983 ]]",[[0.2   0.194]]
"[[0.793      0.356      0.         0.         0.86278592]
 [0.796      0.36       0.         0.         0.86714928]
 [0.799      0.363      0.         0.         0.87152006]
 [0.802      0.367      0.         0.         0.8758983 ]
 [0.805      0.371      0.         0.         0.88028405]]",[[0.2   0.194]]
"[[0.796      0.36       0.         0.         0.86714928]
 [0.799      0.363      0.         0.         0.87152006]
 [0.802      0.367      0.         0.         0.8758983 ]
 [0.805      0.371      0.         0.         0.88028405]
 [0.808      0.374      0.         0.         0.88467736]]",[[0.2   0.194]]
"[[0.799      0.363      0.         0.         0.87152006]
 [0.802      0.367      0.         0.         0.8758983 ]
 [0.805      0.371      0.         0.         0.88028405]
 [0.808      0.374      0.         0.         0.88467736]
 [0.811      0.378      0.         0.         0.88907828]]",[[0.2   0.194]]
"[[0.802      0.367      0.         0.         0.8758983 ]
 [0.805      0.371      0.         0.         0.88028405]
 [0.808      0.374      0.         0.         0.88467736]
 [0.811      0.378      0.         0.         0.88907828]
 [0.814      0.382      0.         0.         0.89596453]]",[[0.2   0.194]]
"[[0.805      0.371      0.         0.         0.88028405]
 [0.808      0.374      0.         0.         0.88467736]
 [0.811      0.378      0.         0.         0.88907828]
 [0.814      0.382      0.         0.         0.89596453]
 [0.817      0.386      0.         0.         0.90038442]]",[[0.2   0.194]]
"[[0.808      0.374      0.         0.         0.88467736]
 [0.811      0.378      0.         0.         0.88907828]
 [0.814      0.382      0.         0.         0.89596453]
 [0.817      0.386      0.         0.         0.90038442]
 [0.82       0.39       0.         0.         0.90481204]]",[[0.2   0.194]]
"[[0.811      0.378      0.         0.         0.88907828]
 [0.814      0.382      0.         0.         0.89596453]
 [0.817      0.386      0.         0.         0.90038442]
 [0.82       0.39       0.         0.         0.90481204]
 [0.823      0.393      0.         0.         0.90924745]]",[[0.2   0.194]]
"[[0.814      0.382      0.         0.         0.89596453]
 [0.817      0.386      0.         0.         0.90038442]
 [0.82       0.39       0.         0.         0.90481204]
 [0.823      0.393      0.         0.         0.90924745]
 [0.826      0.397      0.         0.         0.91315174]]",[[0.2   0.194]]
"[[0.817      0.386      0.         0.         0.90038442]
 [0.82       0.39       0.         0.         0.90481204]
 [0.823      0.393      0.         0.         0.90924745]
 [0.826      0.397      0.         0.         0.91315174]
 [0.829      0.401      0.         0.         0.91760351]]",[[0.2   0.194]]
"[[0.82       0.39       0.         0.         0.90481204]
 [0.823      0.393      0.         0.         0.90924745]
 [0.826      0.397      0.         0.         0.91315174]
 [0.829      0.401      0.         0.         0.91760351]
 [0.832      0.405      0.         0.         0.92206323]]",[[0.2   0.194]]
"[[0.823      0.393      0.         0.         0.90924745]
 [0.826      0.397      0.         0.         0.91315174]
 [0.829      0.401      0.         0.         0.91760351]
 [0.832      0.405      0.         0.         0.92206323]
 [0.835      0.409      0.         0.         0.92653093]]",[[0.2   0.191]]
"[[0.826      0.397      0.         0.         0.91315174]
 [0.829      0.401      0.         0.         0.91760351]
 [0.832      0.405      0.         0.         0.92206323]
 [0.835      0.409      0.         0.         0.92653093]
 [0.838      0.413      0.         0.         0.93351539]]",[[0.2   0.193]]
"[[0.829      0.401      0.         0.         0.91760351]
 [0.832      0.405      0.         0.         0.92206323]
 [0.835      0.409      0.         0.         0.92653093]
 [0.838      0.413      0.         0.         0.93351539]
 [0.841      0.417      0.         0.         0.93800276]]",[[0.2   0.193]]
"[[0.832      0.405      0.         0.         0.92206323]
 [0.835      0.409      0.         0.         0.92653093]
 [0.838      0.413      0.         0.         0.93351539]
 [0.841      0.417      0.         0.         0.93800276]
 [0.844      0.421      0.         0.         0.94249822]]",[[0.2   0.193]]
"[[0.835      0.409      0.         0.         0.92653093]
 [0.838      0.413      0.         0.         0.93351539]
 [0.841      0.417      0.         0.         0.93800276]
 [0.844      0.421      0.         0.         0.94249822]
 [0.847      0.424      0.         0.         0.9470018 ]]",[[0.2   0.193]]
"[[0.838      0.413      0.         0.         0.93351539]
 [0.841      0.417      0.         0.         0.93800276]
 [0.844      0.421      0.         0.         0.94249822]
 [0.847      0.424      0.         0.         0.9470018 ]
 [0.85       0.428      0.         0.         0.95151352]]",[[0.2   0.193]]
"[[0.841      0.417      0.         0.         0.93800276]
 [0.844      0.421      0.         0.         0.94249822]
 [0.847      0.424      0.         0.         0.9470018 ]
 [0.85       0.428      0.         0.         0.95151352]
 [0.852      0.432      0.         0.         0.95603342]]",[[0.194 0.219]]
"[[0.844      0.421      0.         0.         0.94249822]
 [0.847      0.424      0.         0.         0.9470018 ]
 [0.85       0.428      0.         0.         0.95151352]
 [0.852      0.432      0.         0.         0.95603342]
 [0.855      0.436      0.         0.         0.96056153]]",[[0.2   0.193]]
"[[0.847      0.424      0.         0.         0.9470018 ]
 [0.85       0.428      0.         0.         0.95151352]
 [0.852      0.432      0.         0.         0.95603342]
 [0.855      0.436      0.         0.         0.96056153]
 [0.858      0.44       0.         0.         0.96509787]]",[[0.2   0.193]]
"[[0.85       0.428      0.         0.         0.95151352]
 [0.852      0.432      0.         0.         0.95603342]
 [0.855      0.436      0.         0.         0.96056153]
 [0.858      0.44       0.         0.         0.96509787]
 [0.861      0.444      0.         0.         0.96964247]]",[[0.2   0.193]]
"[[0.852      0.432      0.         0.         0.95603342]
 [0.855      0.436      0.         0.         0.96056153]
 [0.858      0.44       0.         0.         0.96509787]
 [0.861      0.444      0.         0.         0.96964247]
 [0.863      0.448      0.         0.         0.97419535]]",[[0.2   0.193]]
"[[0.855      0.436      0.         0.         0.96056153]
 [0.858      0.44       0.         0.         0.96509787]
 [0.861      0.444      0.         0.         0.96964247]
 [0.863      0.448      0.         0.         0.97419535]
 [0.866      0.452      0.         0.         0.97875655]]",[[0.2   0.193]]
"[[0.858      0.44       0.         0.         0.96509787]
 [0.861      0.444      0.         0.         0.96964247]
 [0.863      0.448      0.         0.         0.97419535]
 [0.866      0.452      0.         0.         0.97875655]
 [0.869      0.456      0.         0.         0.9828026 ]]",[[0.2   0.193]]
"[[0.861      0.444      0.         0.         0.96964247]
 [0.863      0.448      0.         0.         0.97419535]
 [0.866      0.452      0.         0.         0.97875655]
 [0.869      0.456      0.         0.         0.9828026 ]
 [0.872      0.461      0.         0.         0.98738191]]",[[0.2   0.193]]
"[[0.863      0.448      0.         0.         0.97419535]
 [0.866      0.452      0.         0.         0.97875655]
 [0.869      0.456      0.         0.         0.9828026 ]
 [0.872      0.461      0.         0.         0.98738191]
 [0.874      0.465      0.         0.         0.99196963]]",[[0.2   0.192]]
